ham,symbol,unicode
hamsymmpar hamfist hamthumboutmod hamextfingeru hampalmd hamtouch hamchest hamnomotion,a,e0e8 e000 e00c e020 e03c e0d1 e052 e0af
hamflathand hamfingerstraightmod hamextfingeru hampalml hamchest hamlrat hamclose hamnomotion hamnomotion hamplus hamflathand hamfingerstraightmod hamextfingeru hampalml hamhead hamlrat hamclose hamnomotion hammoveo hamsmallmod hamslow hamnomotion,above,e001 e010 e020 e03e e052 e059 e0d0 e0af e0af e0e7 e001 e010 e020 e03e e040 e059 e0d0 e0af e089 e0c6 e0c9 e0af
hamsymmlr hamfist hamthumboutmod hamextfingero hampalmdl hamtouch hamchest hamclose hamnomotion hamplus hamfinger2345 hamthumboutmod hamfingerbendmod hamextfingerol hambetween hamextfingero hampalmd hamlrat hamchest hamclose hamnomotion hammoveu hambetween hammoveur hamtense hamplus hampinchall hamthumbacrossmod hamextfingero hampalmd hamneck hamlrat hamclose hamnomotion hammoved hamsmallmod,absorb,e0e9 e000 e00c e029 e03d e0d1 e052 e0d0 e0af e0e7 e005 e00c e011 e028 e0e6 e029 e03c e059 e052 e0d0 e0af e080 e0e6 e081 e0ca e0e7 e007 e00d e029 e03c e04f e059 e0d0 e0af e084 e0c6
hamsymmlr hamfinger2345 hamthumboutmod hamextfingero hampalmd hamshoulders hamparbegin hammovei hamreplace hampinchall hamextfingerl hampalml hamparend hamtouch,accept,e0e9 e005 e00c e029 e03c e051 e0e2 e08c e0aa e007 e026 e03e e0e3 e0d1
hamparbegin hamfist hamthumbacrossmod hamplus hamfist hamthumbacrossmod hamparend hamparbegin hamextfingero hampalml hamplus hamextfingero hampalmr hamparend hamparbegin hamchest hamlrbeside hamplus hamlrbeside hamchest hamparend hamplus hamsymmpar hamfist hamthumbacrossmod hamextfingero hampalml hamtouch hamchest hamclose hamnomotion hammoveo,accompany,e0e2 e000 e00d e0e7 e000 e00d e0e3 e0e2 e029 e03e e0e7 e029 e03a e0e3 e0e2 e052 e058 e0e7 e058 e052 e0e3 e0e7 e0e8 e000 e00d e029 e03e e0d1 e052 e0d0 e0af e089
hamcee12 hamextfingeror hambetween hamextfingerr hampalml hamshoulders hamlrat hamclose hamnomotion hammoved hamtense hamnomotion hamreplace hamfinger23spread hamthumbacrossmod hamextfingeru hampalmul hamshoulders hamlrat hamclose hammoveo hamslow hamrepeatfromstart hamplus hamsymmlr hamflathand hamthumbacrossmod hamextfingerl hambetween hamextfingerul hampalmu hamshoulders hamclose hamreplace hamextfingero hampalml hamplus hamparbegin hamfinger2 hamthumbacrossmod hamplus hamfinger2 hamthumbacrossmod hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingeror hampalmr hamparend hamparbegin hamindexfinger hamfingerpad hamplus hamindexfinger hamfingerpad hamparend hamtouch hamshoulders hamclose hamnomotion hamplus hamparbegin hamfinger2 hamfingerhookmod hamplus hamfist hamthumbacrossmod hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingeror hampalmd hamparend hamparbegin hampalm hamplus hamhandback hamparend hamclose hamshoulders hamclose hammoveol hamnomotion,accomplice,e009 e02a e0e6 e022 e03e e051 e059 e0d0 e0af e084 e0ca e0af e0aa e004 e00d e020 e03f e051 e059 e0d0 e089 e0c9 e0d8 e0e7 e0e9 e001 e00d e026 e0e6 e027 e038 e051 e0d0 e0aa e029 e03e e0e7 e0e2 e002 e00d e0e7 e002 e00d e0e3 e0e2 e028 e03c e0e7 e02a e03a e0e3 e0e2 e071 e077 e0e7 e071 e077 e0e3 e0d1 e051 e0d0 e0af e0e7 e0e2 e002 e012 e0e7 e000 e00d e0e3 e0e2 e028 e03c e0e7 e02a e03c e0e3 e0e2 e067 e0e7 e068 e0e3 e0d0 e051 e0d0 e088 e0af
hamfinger2345 hamthumbacrossmod hamindexfinger hamfingerhookmod hammiddlefinger hamfingerhookmod hamringfinger hamfingerhookmod hamextfingeru hampalmdl hamshouldertop hamlrat hamclose hamreplace hamextfingero hampalmu hammovedl,accuse,e005 e00d e071 e012 e072 e012 e073 e012 e020 e03d e050 e059 e0d0 e0aa e029 e038 e085
hamfinger2345 hamthumboutmod hamextfingeru hampalmdl hamcheek hamlrat hamclose hamreplace hamfinger2345 hamfingerhookmod hamplus hamfinger2345 hamthumboutmod hamextfingeru hampalmdl hamcheek hamlrat hamclose hamreplace hamfinger2345 hamfingerhookmod hamplus hamfinger2345 hamthumboutmod hamextfingeru hampalmdl hamcheek hamlrat hamclose hamreplace hamfinger2345 hamfingerhookmod hamplus hamfinger2345 hamthumboutmod hamextfingeru hampalmdl hamcheek hamlrat hamclose hamreplace hamfinger2345 hamfingerhookmod,ache,e005 e00c e020 e03d e049 e059 e0d0 e0aa e005 e012 e0e7 e005 e00c e020 e03d e049 e059 e0d0 e0aa e005 e012 e0e7 e005 e00c e020 e03d e049 e059 e0d0 e0aa e005 e012 e0e7 e005 e00c e020 e03d e049 e059 e0d0 e0aa e005 e012
hamsymmlr hamfinger2345 hamthumbacrossmod hamextfingeru hampalmu hamshoulders hamclose hamnomotion hamfingerplay hamplus hamcee12 hamextfingeror hambetween hamextfingero hampalml hamshoulders hamlrat hamclose hamnomotion hammoved hamslow,actury,e0e9 e005 e00d e020 e038 e051 e0d0 e0af e0a4 e0e7 e009 e02a e0e6 e029 e03e e051 e059 e0d0 e0af e084 e0c9
hamparbegin hamfinger2 hamthumbacrossmod hamplus hamfinger2 hamthumbacrossmod hamparend hamparbegin hamextfingeru hampalml hamplus hamextfingerr hampalmd hamparend hamparbegin hamindexfinger hamfingermidjoint hamplus hamindexfinger hamfingermidjoint hamparend hamtouch hamshoulders hamclose hammovei hamsmallmod hamslow hamrepeatfromstart,add,e0e2 e002 e00d e0e7 e002 e00d e0e3 e0e2 e020 e03e e0e7 e022 e03c e0e3 e0e2 e071 e078 e0e7 e071 e078 e0e3 e0d1 e051 e0d0 e08c e0c6 e0c9 e0d8
