__v,_id,ham,symbol,unicode
0,620275c703a2df5bb68995c6,hamfinger2345 hamfingerbendmod hamthumboutmod hamextfingeru hampalml hamear hamtouch hammover hamreplace hamfinger23 hamthumbacrossmod hampalml hammover hamreplace hamfinger2345 hamthumb hamfingerbendmod hampinky hamfingerbendmod hampalml,angry,e005 e011 e00c e020 e03e e047 e0d1 e082 e0aa e003 e00d e03e e082 e0aa e005 e070 e011 e074 e011 e03e
0,620275c703a2df5bb68995c7,hamsymmpar hampinchall hamextfingeru hampalml hamparbegin hamfingertip hamthumb hamindexfinger hamplus hamfingertip hamthumb hamindexfinger hamparend hamtouch hamchin hamparbegin hamreplace hamfinger2345 hamextfingeruo hampalmd hamclose hamshoulders hamparend,announce,e0e8 e007 e020 e03e e0e2 e075 e070 e071 e0e7 e075 e070 e071 e0e3 e0d1 e04d e0e2 e0aa e005 e031 e03c e0d0 e051 e0e3
0,620275c703a2df5bb68995c8,hamparbegin hamfinger23spread hamthumbacrossmod hambetween hamfinger23 hamthumbacrossmod hamplus hamfinger23spread hamthumbacrossmod hambetween hamfinger23 hamthumbacrossmod hamparend hamparbegin hamextfingerol hampalml hamplus hamextfingeror hampalmr hamparend hamparbegin hamchest hambetween hamshoulders hamlrbeside hamplus hamchest hamparend hammoveil hambetween hammoveu hamarcd hamrepeatfromstart,another,e0e2 e004 e00d e0e6 e003 e00d e0e7 e004 e00d e0e6 e003 e00d e0e3 e0e2 e028 e03e e0e7 e02a e03a e0e3 e0e2 e052 e0e6 e051 e058 e0e7 e052 e0e3 e08b e0e6 e080 e0bc e0d8
0,620275c703a2df5bb68995c9,hamparbegin hamfinger2 hamthumbacrossmod hamplus hamfist hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingerr hambetween hamextfingeror hampalmd hamparend hamparbegin hamhandback hamseqend hamplus hamindexfinger hamfingerpad hamparend hamtouch,time,e0e2 e002 e00d e0e7 e000 e0e3 e0e2 e028 e03c e0e7 e022 e0e6 e02a e03c e0e3 e0e2 e068 e0e1 e0e7 e071 e077 e0e3 e0d1
0,620275c703a2df5bb68995ca,hamparbegin hamfinger23spread hamthumbacrossmod hambetween hamfinger23 hamthumbacrossmod hamplus hamfinger23spread hamthumbacrossmod hambetween hamfinger23 hamthumbacrossmod hamparend hamparbegin hamextfingerol hampalml hamplus hamextfingeror hampalmr hamparend hamparbegin hamchest hambetween hamshoulders hamlrbeside hamplus hamchest hamparend hammoveil hambetween hammoveu hamarcd hamrepeatfromstart,another,e0e2 e004 e00d e0e6 e003 e00d e0e7 e004 e00d e0e6 e003 e00d e0e3 e0e2 e028 e03e e0e7 e02a e03a e0e3 e0e2 e052 e0e6 e051 e058 e0e7 e052 e0e3 e08b e0e6 e080 e0bc e0d8
0,620275c703a2df5bb68995cb,hamparbegin hamfinger2 hamthumbacrossmod hamplus hamfist hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingerr hambetween hamextfingeror hampalmd hamparend hamparbegin hamhandback hamplus hamindexfinger hamfingerpad hamparend hamtouch,time,e0e2 e002 e00d e0e7 e000 e0e3 e0e2 e028 e03c e0e7 e022 e0e6 e02a e03c e0e3 e0e2 e068 e0e7 e071 e077 e0e3 e0d1
0,620275c703a2df5bb68995cc,hamsymmlr hamparbegin hamfist hamthumboutmod hamplus hamfist hamthumboutmod hamparend hamparbegin hamextfingeru hampalmd hambetween hampalml hamplus hamextfingeru hampalmd hambetween hampalmr hamparend hamparbegin hamthumb hamfingertip hamplus hamthumb hamfingertip hamparend hamtouch hamshoulders hammoveo,answer,e0e9 e0e2 e000 e00c e0e7 e000 e00c e0e3 e0e2 e020 e03c e0e6 e03e e0e7 e020 e03c e0e6 e03a e0e3 e0e2 e070 e075 e0e7 e070 e075 e0e3 e0d1 e051 e089
0,620275c703a2df5bb68995cd,hamfinger2 hamthumbacrossmod hamextfingerl hampalmd hamparbegin hammovel hamsmallmod hamreplace hamfinger2 hamfingerbendmod hamthumbacrossmod hamextfingerl hampalmd hamparend hamrepeatcontinueseveral,ant,e002 e00d e026 e03c e0e2 e086 e0c6 e0aa e002 e011 e00d e026 e03c e0e3 e0db
0,620275c703a2df5bb68995ce,hamparbegin hamfinger2345 hamthumboutmod hamplus hamfinger2345 hamthumboutmod hamparend hamextfingeru hamparbegin hampalmdl hamplus hampalmdr hamparend hamparbegin hamhandback hamplus hamhandback hamparend hamclose hamparbegin hammover hamarcr hamplus hammovel hamarcl hamparend,antartica,e0e2 e005 e00c e0e7 e005 e00c e0e3 e020 e0e2 e03d e0e7 e03b e0e3 e0e2 e068 e0e7 e068 e0e3 e0d0 e0e2 e082 e0bb e0e7 e086 e0b9 e0e3
0,620275c703a2df5bb68995cf,hamsymmlr hamflathand hamfingerstraightmod hambetween hamflathand hamextfingerl hampalmu hamshoulders hamlrat hamclose hamparbegin hammoveo hamarcd hamreplace hamfinger2345 hamthumboutmod hambetween hamflathand hamextfingeru hambetween hamextfingeror hampalmd hamparend hamchest hamlrat,any,e0e9 e001 e010 e0e6 e001 e026 e038 e051 e059 e0d0 e0e2 e089 e0bc e0aa e005 e00c e0e6 e001 e020 e0e6 e02a e03c e0e3 e052 e059
0,620275c703a2df5bb68995d0,hamsymmlr hamfinger2345 hamthumboutmod hamextfingerul hampalmdl hamparbegin hammover hamsmallmod hamfingerplay hamreplace hamfinger2 hamthumbacrossmod hamextfingeru hampalmu hamparend hammovel hamsmallmod hamparbegin hampinkyside hamplus hampinkyside hamparend hamtouch,anything,e0e9 e005 e00c e027 e03d e0e2 e082 e0c6 e0a4 e0aa e002 e00d e020 e038 e0e3 e086 e0c6 e0e2 e06a e0e7 e06a e0e3 e0d1
